Title,Director,Actors
Deadpool 2,David Leitch,Ryan Reynolds --- Josh Brolin --- Morena Baccarin --- Julian Dennison --- Zazie Beetz --- T.J. Miller --- Leslie Uggams --- Karan Soni --- Brianna Hildebrand --- Jack Kesy --- Eddie Marsan --- Shiori Kutsuna --- Stefan Kapi�?ić --- Andre Tricoteux --- Randal Reeder --- Nikolai Witschl --- Thayr Harris --- Rob Delaney --- Lewis Tan --- Bill Skarsgård --- Terry Crews --- Brad Pitt --- Paul Wu --- Robert Maillet --- Alan Tudyk --- Matt Damon --- Michasha Armstrong --- Hayley Sales --- Islie Hirvonen --- Joe Doserro --- Jagua Arneja --- Gerry South --- Mike Dopud --- Luke Roessler --- Andy Canete --- Tanis Dolman --- Eleanor Walker --- Hunter Dillon --- Sala Baker --- Sonia Sunger --- Paul Wernick --- Rhett Reese --- Abiola Uthman --- Tony Bailey --- David Leitch --- Hugh Jackman --- James McAvoy --- Nicholas Hoult --- Kodi Smit-McPhee --- Alexandra Shipp --- Evan Peters --- Tye Sheridan --- ,
Skyscraper,Rawson Marshall Thurber,Dwayne Johnson --- Neve Campbell --- Chin Han --- Noah Taylor --- Byron Mann --- Pablo Schreiber --- McKenna Roberts --- Noah Cottrell --- Hannah Quinlivan --- Adrian Holmes --- Elfina Luk --- Kevin Rankin --- Jett Klyne --- Kayden Magnuson --- Byron Lawson --- Nelson Wong --- Colin Corrigan --- Omari Newton --- Venus Terzo --- Paul McGillion --- Matt O'Leary --- Tzi Ma --- Roland Møller --- Gretal Montgomery --- Jason William Day --- Ryan Handley --- Sean Kohnke --- Shawn Stewart --- Brian Ho --- Tina Tong --- Carlo Yu --- Dimitry Tsoy --- Allen Keng --- Sam Yunussov --- Paul Wu --- Glenn Chow --- Robert Boyce --- Aaron Au --- Grace Wang --- Marcus Sim --- Rene Wang --- Kathy Wu --- Lawrence Chau --- Evan Lai --- Shamel Hashish --- Matthew Wolf --- Fabio Tassone --- Leanne Suter --- Rick Chambers --- Lasaundra Gibson --- Wendy Jacobson --- Sarah K. Thurber --- Malin Barr --- Vivian Full --- Hung Huynh --- Beatrice Ilg --- ,
Sicario: Day of the Soldado,Stefano Sollima,Benicio del Toro --- Josh Brolin --- Isabela Moner --- Jeffrey Donovan --- Catherine Keener --- Manuel Garcia-Rulfo --- Matthew Modine --- Shea Whigham --- Elias Garza --- Howard Ferguson Jr. --- David Castaneda --- Jacqueline Torres --- Raoul Max Trujillo --- Bruno Bichir --- Jake Picking --- Tenzin Marco-Taylor --- Faysal  Ahmed --- Dan Davidson --- Graham Beckel --- Sherman Allen --- Lourdes Del Rio Garcia --- Christopher Heyerdahl --- Ian Bohen --- J.D. Garfield --- Ryan Begay --- Diane Villegas --- Ibrahim Renno --- Alejandro de la Peña --- Brian Reynolds --- Frédéric North --- Joseph A. Garcia --- J.D. Marmion --- Hector Dez --- Jon Kristian Moore --- Thang Khan Gin --- Mang Khai --- Zaw Tan --- Mickey Dolan --- Alex Cacho --- Rick Vargas --- Lloyd Voights --- Rob Franco --- Oscar Avila --- Arturo Maese Bernal --- Billy R. Sanchez --- Gary Anthony Castro --- Iliana Donatlán --- Beth Bailey --- Stafford Douglas --- Nick Shakoour --- Sakariya Ali --- Alfredo Quiroz --- Fernando Urquides --- Tasha Ames --- David Manzanares --- Connor Skific --- Jackamoe Buzzell --- Christian Pedersen --- Ryan Jason Cook --- James Devoti --- Chris Adams --- Catherine Haun --- Gregory Paul Valdez --- Barrett James --- Gonzalo Robles --- Cassandra Rochelle Fetters --- Michael Love Toliver --- ,
Creed II,Steven Caple Jr.,Michael B. Jordan --- Sylvester Stallone --- Tessa Thompson --- Dolph Lundgren --- Florian Munteanu --- Phylicia Rash�?d --- Wood Harris --- Andre Ward --- Raul Torres --- Tristan Mamasakhlisashvili --- Brigitte Nielsen --- Milo Ventimiglia --- ,
Kin,Jonathan Baker,Josh Baker,Myles Truitt --- Dennis Quaid --- Jack Reynor --- Zoë Kravitz --- James Franco --- Carrie Coon --- Romano Orzari --- Gavin Fox --- Jonathan Cherry --- Mark O'Brien --- Ian Matthews --- Khalid Klein --- Michael B. Jordan --- Lily Gao --- Shawn J. Hamilton --- Romano Orzari --- Carleigh Beverly --- Lukas Penar --- Stephane Garneau-Monten --- Milton Barnes --- Michael Grisley --- Sean Fowler --- Bree Wasylenko --- Amos Stern --- ,
Solo: A Star Wars Story,Ron Howard,Alden Ehrenreich --- Joonas Suotamo --- Emilia Clarke --- Woody Harrelson --- Donald Glover --- Thandie Newton --- Phoebe Waller-Bridge --- John Tui --- Paul Bettany --- Jon Favreau --- Erin Kellyman --- Linda Hunt --- Ian Kenny --- Warwick Davis --- Charlotte Louise --- Clint Howard --- Dee Tails --- Attila Vajda --- Anthony Daniels --- Kiran Shah --- Lily Newmark --- Samantha Colley --- Ray Park --- Samuel Witwer --- Sema-Tawi Smart --- Fraser Kelly --- Alice Hewkin --- Dempsey Bovell --- Anna Francolini --- Robert Morgan --- Aaron Heffernan --- Eben Figueiredo --- Shaquille Ali-Yebuah --- Andrew Woodall --- Damian Farrell --- Hal Fowler --- Andrew Jack --- Harley Durst --- Miles Richardson --- Katy Kartwheel --- Dave Chapman --- Joseph Charles --- Sammy Hayman --- Rona Morison --- Jason Wong --- Richard Dixon --- Deepak Anand --- ,
BlacKkKlansman,Spike Lee,John David Washington --- Adam Driver --- Topher Grace --- Alec Baldwin --- Jasper Pääkkönen --- Harry Belafonte --- Laura Harrier --- Danny Hoch --- Robert John Burke --- Ashlie Atkinson --- Jared Johnston --- Michael J. Burg --- Ato Blankson-Wood --- Paul Walter Hauser --- Ryan Preimesberger --- Michael Buscemi --- Corey Hawkins --- Elise Hudson --- Frederick Weller --- Isiah Whitlock Jr. --- Damaris Lewis --- Dared Wright --- Brian Tarantina --- Faron Salisbury --- Arthur J. Nascarella --- Ken Garito --- Nicholas Turturro --- Ryan Eggold --- Gary Ayash --- Timal McKen --- McManus Woodend --- Tejon Wright --- Tom Stratford --- Kacie Calhoun --- Craig muMs Grant --- Bob Angelini --- Chris Banks --- Jarrod LaBine --- John Mitchell --- Michael Erik --- Elizabeth Paige --- ,
Widows,Steve McQueen,Viola Davis --- Michelle Rodriguez --- Elizabeth Debicki --- Cynthia Erivo --- Colin Farrell --- Brian Tyree Henry --- Daniel Kaluuya --- Jacki Weaver --- Carrie Coon --- Robert Duvall --- Liam Neeson --- Manuel Garcia-Rulfo --- Jon Bernthal --- Garret Dillahunt --- Michael Harney --- Lukas Haas --- Matt Walsh --- Adepero Oduye --- Ann Mitchell --- Kevin J. O'Connor --- Molly Kunz --- Coburn Goss --- Clare Cooney --- James Vincent Meredith --- Eric C. Lynch --- Will Zahrn --- Stephen Hill --- Deron J. Powell --- Keith Kupferer --- Lily Mojekwu --- Laura Fisher --- Tonray Ho --- Lizzy Leigh --- Daniel Craig Baker --- Bailey Rhyse Walters --- Socorro Santiago --- Patrese McClain --- Stephen Eugene Walker --- Bailee Brewer --- Matthew Fowler --- Amanda Rivera --- Kirsten Fitzgerald --- Katherine Kupferer --- Cameron Knight --- ,
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,Adam Sandler --- Andy Samberg --- Selena Gomez --- Kevin James --- David Spade --- Steve Buscemi --- Keegan-Michael Key --- Molly Shannon --- Fran Drescher --- Kathryn Hahn --- Jim Gaffigan --- Mel Brooks --- Asher Blinkoff --- Sadie Sandler --- Genndy Tartakovsky --- Chrissy Teigen --- Alison Hammond --- Joe Whyte --- Aaron LaPlante --- Michelle Murdocca --- Joyce Arrastia --- Sunny Sandler --- Tara Strong --- Libby Thomas Dickey --- Patrick Harpin --- Craig Kellman --- Jaime Camil --- Joe Jonas --- Chris Parnell --- Fred Tatasciore --- Kari Wahlgren --- ,
The First Purge,Gerard McMurray,Y'lan Noel --- Lex Scott Davis --- Joivan Wade --- Mugga --- Lauren Vélez --- Marisa Tomei --- Christian Robinson --- Kristen Solis --- Patch Darragh --- Maria Rivera --- Chyna Layne --- Siya --- Melonie Diaz --- Mo McRae --- Steve Harris --- Rotimi Paul --- Jermel Howard --- Derek Basco --- D.K. Bowser --- Mitchell Edwards --- Ian Blackman --- Naszir Nance --- Peter Johnson --- Cloé Xhauflaire --- John P. McGinty --- Qurrat Ann Kadwani --- Claudine Ewing --- Susanna Guzman --- Olivia Frances Williams --- Matthew Mesler --- Geoff Schuppert --- Deidre Goodwin --- Nancy Lemenager --- Neal Gupta --- Ricky Needham --- Anthony Lee Medina --- Mike Cabellon --- Levy Tran --- Nathyia Jackson --- Rolando Martín Gómez --- Paul Iatomasi --- Kevin Carrigan --- Katina Forte --- Van Jones --- Jane Fergus --- Alan Pietruszewski --- Aaron Moss --- Logan Crawford --- Gabriel Lopez --- Boris Khaykin --- Moisés Acevedo --- Desiigner --- Patrick Byas --- Shonica Gooden --- Shaun Woodland --- David Breda --- Jessica Bell --- Korey Bastian --- Jason John Beebe --- Robert Bozek --- Allen Walls --- ,
Christmas Harmony,Nanea Miyata,Kelley Jakle --- Sally Struthers --- Lee Garlington --- Chandra Wilson --- Tiffany Smith --- Adam Mayfield --- Peter Porte --- Aden Schwartz --- Sean Watkins --- Gina Hiraizumi --- Jessica Obilom --- Michael Blake Kruse --- ,
Christopher Robin,Marc Forster,Ewan McGregor --- Hayley Atwell --- Bronte Carmichael --- Jim Cummings --- Brad Garrett --- Sophie Okonedo --- Toby Jones --- Nick Mohammed --- Peter Capaldi --- Sara Sheen --- Mark Gatiss --- Oliver Ford Davies --- Ronke Adekoluejo --- Adrian Scarborough --- Roger Ashton-Griffiths --- Ken Nwosu --- Amanda Lawrence --- John Dagleish --- Orton O'Brien --- Katy Carmichael --- Tristan Sturrock --- Jasmine-Simone Charles --- Paul Chahidi --- Matt Gavan --- Gareth Mason --- Summer Brooks --- Amrou Al-Kadhi --- Zain Falzon --- Rainy Milo --- Michael Jenn --- Souad Faress --- Alan Clark --- Chris Pratt --- Harriet Leitch --- Vera Chok --- Claire Redcliffe --- Elsa Minell Solak --- Matt Berry --- Simon Farnaby --- Matthew Earley --- Mackenzie Crook --- Vivien Bridson --- Narinder Samra --- Oliver Payne --- David Hartley --- Clara McGregor --- Raj Ghatak --- Abbey Denne --- Bern Collaço --- Gintare Beinoraviciute --- Lee Asquith-Coe --- Roy Beck --- Shola Adewusi --- Tim Ingall --- ,
The Spy Who Dumped Me,Susanna Fogel,Mila Kunis --- Kate McKinnon --- Justin Theroux --- Sam Heughan --- Lolly Adefope --- Dustin Demri-Burns --- Hasan Minhaj --- Mirjam Novak --- Kev Adams --- Gillian Anderson --- Ivanna Sakhno --- Jane Curtin --- Paul Reiser --- Fred Melamed --- James Fleet --- Carolyn Pickles --- Tom Stourton --- Ruby Kammer --- Genevieve McCarthy --- Gyula Mesterházy --- Lívia Hábermann --- Hugo Bolton --- Tamás Szabó Sipos --- Ólafur Darri Ólafsson --- Justine Wachsberger --- Kevin Ezekiel Ogunleye --- David Iserson --- Roderick Hill --- Nicholas Wittman --- László �?ron --- �?gnes Bánfalvy --- Blanka Györfi-Tóth --- Barnabás Réti --- András Velkov --- Anita Anand --- Attila �?rpa --- Peter Schueller --- Vilma Szécsi --- Patrícia Tary --- Carolyn Cicalese --- Hanna Milovits --- Rebeka Eva Cook --- Bettina Csipszer --- Ivett Diána Bukovinszki --- Kevin D Wilson --- Kornelia Horvath --- Maria Z. Wilson --- Noelle Loizos --- Ernst-Marcus Thomas --- Hélène Cardona --- ,
The Nutcracker and the Four Realms,Lasse Hallström,Joe Johnston,Mackenzie Foy --- Keira Knightley --- Morgan Freeman --- Helen Mirren --- Matthew Macfadyen --- Jayden Fowora-Knight --- Richard E. Grant --- Jack Whitehall --- Eugenio Derbez --- Ellie Bamber --- Ocean Navarro --- Sergei Polunin --- Misty Copeland --- Meera Syal --- Omid Djalili --- Nick Mohammed --- Charles Streeter --- Trent Owers --- Gemma Wilks --- Andrei Cotofan --- Jessie Vinning --- Tom Sweet --- Anna Madeley --- Gustavo Dudamel --- Tristan Mamasakhlisashvili --- ,
Ocean's Eight,Gary Ross,Sandra Bullock --- Cate Blanchett --- Anne Hathaway --- Mindy Kaling --- Sarah Paulson --- Awkwafina --- Rihanna --- Helena Bonham Carter --- Richard Armitage --- James Corden --- Dakota Fanning --- Elliott Gould --- Shaobo Qin --- Marlo Thomas --- Dana Ivey --- Mary Louise Wilson --- Elizabeth Ashley --- Daniella Rabbani --- Alexander Blaise --- Charles Prendergast --- Timothy Woods --- Migs Govea --- Gideon Glick --- Richard Robichaux --- Shannon Freyer --- Nathanya Alexander --- James Biberi --- Conor Donovan --- Michael Gandolfini --- Brian Anthony Wilson --- Steven Hauck --- David Gibson --- Simon Feil --- Suzanne Jaehne --- Griffin Dunne --- Nea Dune --- Shade Rupe --- Marko Caka --- Frank Modica --- Katrina E. Perkins --- Candice A. Buenrostro --- Bridget Gabbe --- Amelie McKendry --- Kenneth Maharaj --- Abigail Rich --- Marcos A. Gonzalez --- Morgan Cohen --- Rajeev Pahuja --- Sophia Smith --- Friday Chamberlain --- Robbie DeRaffele --- Jonathan Gregg --- Samantha Cocozza --- Annabelle Chow --- George Walsh --- Takako Haywood --- Elizabeth Inghram --- Bridget Russell Kennedy --- Portia Backus --- Emmy Elliott --- Ronald Scott Maestri --- Vitaly Andrew LeBeau --- Chris Banks --- Nathaniel Beal --- John Buscemi --- Dean Morris --- Richard R. Corapi --- D Ivery --- Salvatore DiSanto --- Stefan Ackermann --- Oscar Pavlo --- Michael D. Joseph --- Cooper Carrell --- Justin S Kirkland --- Ashlee Renz-Hotz --- Joshua Salvador --- Angela Bilkic --- Ana Valdes --- Doris McCarthy --- Adriana Lima --- Alexander Wang --- Anna Wintour --- Common --- Derek Blasberg --- Gigi Hadid --- Hailey Baldwin --- Heidi Klum --- Jaime King --- Katie Holmes --- Kendall Jenner --- Kim Kardashian --- Kylie Jenner --- Lauren Santo Domingo --- Lily Aldridge --- Maria Sharapova --- Nina Cuso --- Olivia Munn --- Serena Williams --- Sofia Richie --- Waris Ahluwalia --- Zac Posen --- ,
Mamma Mia! Here We Go Again,Ol Parker,Amanda Seyfried --- Lily James --- Christine Baranski --- Julie Walters --- Pierce Brosnan --- Colin Firth --- Stellan Skarsgård --- Dominic Cooper --- Meryl Streep --- Andy García --- Cher --- Jessica Keenan Wynn --- Alexa Davies --- Jeremy Irvine --- Hugh Skinner --- Josh Dylan --- Omid Djalili --- Celia Imrie --- Maria Vacratsis --- Panos Mouzourakis --- Gerard Monaco --- Anna Antoniades --- Björn Ulvaeus --- Benny Andersson --- Jonathan Goldsmith --- Naoko Mori --- Togo Igawa --- Alexandra Ford --- Susanne Barklund --- Anastasia Hille --- Jane Fowler --- Maria Despina --- Kathryn Akin --- Dale Branston --- Sarah Cortez --- Alim Jayda --- Sonia Dorado --- Beth Willetts --- Tim Wallers --- Amy Trigg --- Marianna Neofitou --- Ava Brennan --- Tom Oakley --- Duncan Smith --- Sharif Afifi --- Myra McFadyen --- Craig Anthony-Kelly --- Sharon Gomez --- Natalia Campbell --- Jacqueline Braun --- Dawn Buckland --- Cassie Clare --- Leon Cooke --- Adam Galbraith --- Jenny Galloway --- Linzi Hateley --- Pip Hersee --- ,
Ready Player One,Steven Spielberg,Tye Sheridan --- Olivia Cooke --- Ben Mendelsohn --- Lena Waithe --- T.J. Miller --- Simon Pegg --- Mark Rylance --- Philip Zhao --- Win Morisaki --- Hannah John-Kamen --- Ralph Ineson --- Susan Lynch --- Clare Higgins --- Perdita Weeks --- Letitia Wright --- Mckenna Grace --- Lulu Wilson --- Cara Pifko --- Vic Chao --- Cara Theobold --- Isaac Andrews --- Joel MacCormack --- Kit Connor --- Leo Heller --- Antonio Mattera --- Lynne Wilmot --- Kae Alexander --- Michael Wildman --- Adolfo �?lvarez --- Alonso Alvarez --- Jadah Marie --- Arianna Jaffier --- Armani Jackson --- Britain Dalton --- Jacob Bertrand --- Gareth Mason --- Ronke Adekoluejo --- Daniel Zolghadri --- William Gross --- Laurence Spellman --- Daniel Eghan --- Julia Nickson --- Kiera Bell --- Samantha Russell --- James Dryden --- Violet McGraw --- Jayden Fowora-Knight --- ,
To All the Boys I've Loved Before,Susan Johnson,Lana Condor --- Noah Centineo --- Janel Parrish --- Anna Cathcart --- Andrew Bachelor --- Trezzo Mahoro --- Madeleine Arthur --- Emilija Baranac --- Israel Broussard --- John Corbett --- Kelcey Mawema --- Julia Benson --- Joey Pacheco --- Edward Kewin --- Jordan Burtchett --- June B. Wilde --- Isabelle Beech --- Hunter Dillon --- Christian Michael Cooper --- Rhys Fleming --- Pavel Piddocke --- Jeb Beach --- Cameron Crosby --- Yael Yurman --- ,
The Princess Switch,Mike Rohl,Vanessa Hudgens --- Sam Palladio --- Suanne Braun --- Sara Stewart --- Natali Yura --- Chris Jarvis --- Jo Cameron Brown --- Pavel Douglas --- Nick Sagar --- Mark Fleischmann --- Alexa Adeosun --- Robin Soans --- Amy Griffiths --- Clara Ciobanu --- Ashley Emerson --- Adi Gheo --- Emmett Friel --- ,
The Hate U Give,George Tillman, Jr.,Amandla Stenberg --- Lamar Johnson --- Regina Hall --- Russell Hornsby --- Anthony Mackie --- Common --- Issa Rae --- Algee Smith --- Dominique Fishback --- Karan Kendrick --- K.J. Apa --- Sabrina Carpenter --- Tony Vaughn --- Susan Santiago --- Rayven Symone Ferrell --- Marcia Wright --- Drew Starkey --- Dustin Lewis --- Rhonda Johnson Dents --- Brian Lafontaine --- TJ Wright --- Megan Lawless --- Al Mitchell --- Iyana Halley --- Tanya Christiansen --- Andrene Ward-Hammond --- Heaven Hightower --- Myles Evans --- Kai N. Ture --- Hassan Welch --- Maxwell Cardona --- ,
Blindspotting,Carlos López Estrada,Daveed Diggs --- Rafael Casal --- Janina Gavankar --- Jasmine Cephas Jones --- Ethan Embry --- Tisha Campbell-Martin --- Utkarsh Ambudkar --- Wayne Knight --- Kevin Carroll --- Lance Holloway --- Nyambi Nyambi --- Jon Chaffin --- Margo Hall --- Ziggy Baitinger --- Travis Parker --- Justin Chu Cary --- Casey Adams --- Michael Rhys Kan --- Justin Liu --- Aviel Ayoung --- Rolanda D. Bell --- John K. Moeslein --- Sarah Kay --- George Watsky --- Kendra Andrews --- Eduardo Ambriz DeColosio --- Zack Duhame --- Amanda Encelan --- Rahul Gupta --- Matt McAbee --- Cameron Foxly --- Luis Carlos Muñoz --- Chris Harding --- Rashida Clendening --- Peter Fitzsimmons --- Tina Gilton --- Cassie Hendry --- Camryn Howard --- Charles Johnson --- Dawayne Jordan --- John Lobato --- Yoli Mapp --- Kelli McCrann --- Sean Michael McGrory --- Ke'Mari Moore --- Brandon H. Morgan --- Vaughn Myovich --- Leland Orser --- Geoffrey Quan --- Molly Shaiken --- Steven Wiig --- Tywain Willis --- Rayna Angélique --- Brian Sampson --- ,
The Night Comes for Us,Timo Tjahjanto,Joe Taslim --- Iko Uwais --- Asha Kenyeri Bermudez --- Sunny Pang --- Salvita Decorte --- Abimana Aryasatya --- Zack Lee --- Dimas Anggara --- Julie Estelle --- Dian Sastrowardoyo --- Hannah Al Rashid --- Shareefa Daanish --- Ronny P. Tjandra --- Morgan Oey --- Epy Kusnandar --- Revaldo --- ,
A-X-L,Oliver Daly,Alex Neustaedter --- Becky G --- Lucy Hale --- Thomas Jane --- Ted McGinley --- Dorian Kingi --- Chloe Bridges --- Eric Etebari --- Dominic Rains --- Alex MacNicoll --- Patricia De Leon --- Sam Upton --- Jonathan Camp --- Stacey Arwen Raab --- Niko Guardado --- Maggy Vick --- Madeline Bertani --- Dominic Vedder --- Chris Verdugo --- Ashley Gibson --- Jerry DiLeo --- Andrew Ortenberg --- Don Smith --- ,
Bad Times at the El Royale,Drew Goddard,Jeff Bridges --- Cynthia Erivo --- Dakota Johnson --- Jon Hamm --- Chris Hemsworth --- Cailee Spaeny --- Lewis Pullman --- Nick Offerman --- Xavier Dolan --- Shea Whigham --- Mark O'Brien --- Charles Halford --- Jim O'Heir --- Gerry Nairn --- Alvina August --- London Morrison --- Bethany Brown --- Rebecca Toolan --- Hannah Zirke --- Billy Wickman --- Charlotte Mosby --- William B. Davis --- Manny Jacinto --- Tally Rodin --- Sophia Lauchlin Hirt --- Jonathan Whitesell --- Synto D. Misati --- Austin Abell --- Katharine Isabelle --- Sarah Smyth --- Vincent Washington --- Austin James --- James Quach --- Kate Gajdosik --- ,
Johnny English Strikes Again,David Kerr,Rowan Atkinson --- Ben Miller --- Olga Kurylenko --- Jake Lacy --- Emma Thompson --- Adam James --- Amit Shah --- Matthew Beard --- Michael Gambon --- Charles Dance --- Edward Fox --- Kevin Eldon --- Pauline McLynn --- Jonny Sweet --- Samantha Russell --- David Mumeni --- Miranda Hennessy --- Vicki Pepperdine --- Marvin Beyster --- Neil Edmond --- Gus Brown --- Peter Vo --- ,
Goosebumps 2: Haunted Halloween,Ari Sandel,Wendi McLendon-Covey --- Madison Iseman --- Jeremy Ray Taylor --- Caleel Harris --- Ken Jeong --- Jack Black --- Chris Parnell --- Bryce Cass --- Peyton Wich --- Shari Headley --- Christian Finlayson --- Matthew Jose Vasquez --- Courtney Lauren Cummings --- Jessi Goei --- Drew Scheid --- Tyler Silva --- Sydney Bullock --- Jason Looney --- Kendrick Cross --- Deja Dee --- Brick Jackson --- Krishnan Viren Patel --- Hallie Jackson --- R.L. Stine --- Katharine C. Lumpkin --- Kent Wagner --- Marsha Shackelford --- Barry W. Jerald Jr. --- Mary Tricia Froedge --- Robert Hunt --- Martin Skyler --- Grace Toso --- Calvin Wickham --- Taylor Williams --- Iyani Gwendolyn --- Cheniqua Litchmore --- Hali J. Ross --- Joe Marri --- Cody Jenkins --- Sherri Millican --- Scott Millican --- Joseph N. Hardin --- Alex T. Hill --- Benjamin Bladon --- Mick Wingert --- Braylon Andrews --- Kaitlyn Bishop --- Jasmine Bolton --- Raphael Dante' Carr Jr. --- Darin De Paul --- Suehyla El-Attar --- Gavrielle Anne Fontanilla --- Natsuki Hirota --- Lacy Hudson --- Catherine Jerald --- Sawyer Jones --- Serene Lee-Sng --- Natalya MacDonald-Risner --- Gracie Marcellus --- Shaun McMillan --- Ben O'Brien --- ,
